"G.A.B. Canvass Reporting System",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Ward by Ward Report",,,,,,,,,,,,,
,,,,,,,,,,,,,
"2012 PRESIDENTIAL AND GENERAL ELECTION",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"President of the United States",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"Total Votes Cast","REP","DEM","CON","IND",,"IND","IND","IND","IND","IND",
,,,"MITT ROMNEY
PAUL RYAN","BARACK OBAMA
JOE BIDEN","VIRGIL GOODE
JIM CLYMER","GARY JOHNSON
JAMES P. GRAY",,"GLORIA LA RIVA
FILBERTO RAMIREZ, JR.","JERRY WHITE
PHYLLIS SCHERRER","JILL STEIN
BEN MANSKI","ROSS C. ROCKY ANDERSON
LUIS J. RODRIGUEZ (WRITE-IN)","ROSEANNE BARR
CINDY LEE SHEEHAN (WRITE IN)","SCATTERING"
,"CITY OF GREENFIELD WARD 1","1,078",510,554,1,10,,0,0,1,0,0,2
,"CITY OF GREENFIELD WARD 2",920,481,433,1,5,,0,0,0,0,0,0
,"CITY OF GREENFIELD WARD 3",911,371,533,3,3,,0,0,0,0,0,1
,"CITY OF GREENFIELD WARD 4",896,369,513,0,11,,0,0,0,0,1,2
,"CITY OF GREENFIELD WARD 5",967,476,481,1,5,,0,0,3,0,0,1
,"CITY OF GREENFIELD WARD 6",908,527,367,3,6,,0,0,1,0,0,4
,"CITY OF GREENFIELD WARD 7","1,139",638,491,2,3,,0,0,3,0,0,2
,"CITY OF GREENFIELD WARD 8","1,133",525,596,0,6,,0,0,3,0,0,3
,"CITY OF GREENFIELD WARD 9","1,139",630,496,0,9,,1,0,3,0,0,0
,"CITY OF GREENFIELD WARD 10","1,056",598,448,0,8,,0,0,1,0,0,1
,"CITY OF GREENFIELD WARD 11","1,201",750,443,0,4,,0,0,3,0,0,1
,"CITY OF GREENFIELD WARD 12","1,030",620,394,1,11,,0,0,1,0,0,3
,"CITY OF GREENFIELD WARD 13",644,312,329,1,2,,0,0,0,0,0,0
,"CITY OF GREENFIELD WARD 14",939,425,497,4,8,,0,2,1,0,0,2
,"CITY OF GREENFIELD WARD 15",860,428,422,2,8,,0,0,0,0,0,0
,"CITY OF GREENFIELD WARD 16",441,228,208,1,2,,0,0,2,0,0,0
,"CITY OF GREENFIELD WARD 17",776,378,391,3,4,,0,0,0,0,0,0
,"CITY OF GREENFIELD WARD 18",888,453,432,1,2,,0,0,0,0,0,0
,"CITY OF GREENFIELD WARD 19","1,289",648,633,0,4,,0,1,3,0,0,0
,"CITY OF GREENFIELD WARD 20","1,318",690,615,0,8,,0,0,3,0,0,2
,"CITY OF GREENFIELD WARD 21",845,365,474,2,4,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 001","1,489",297,"1,185",0,4,,0,0,0,0,0,3
,"CITY OF MILWAUKEE WARD 002",523,23,500,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 003","1,138",229,909,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 004","1,868",275,"1,576",3,11,,1,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 005",917,125,789,1,0,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 006","1,875",462,"1,395",2,7,,1,0,3,0,0,5
,"CITY OF MILWAUKEE WARD 007",679,194,480,1,1,,1,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 008","1,553",371,"1,172",2,3,,1,0,1,0,0,3
,"CITY OF MILWAUKEE WARD 009",857,126,725,3,1,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 010","1,278",346,926,2,3,,0,1,0,0,0,0
,"CITY OF MILWAUKEE WARD 011","1,167",184,979,1,2,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 012","1,108",133,968,0,3,,0,0,2,0,0,2
,"CITY OF MILWAUKEE WARD 013",730,105,621,1,2,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 014","1,108",63,"1,034",3,2,,1,2,3,0,0,0
,"CITY OF MILWAUKEE WARD 015",858,275,574,4,3,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 016","1,623",182,"1,425",4,3,,0,0,2,0,0,7
,"CITY OF MILWAUKEE WARD 017",712,153,557,0,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 018","1,093",168,919,2,2,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 019",924,88,833,2,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 020","1,162",95,"1,064",0,2,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 021","1,032",66,965,0,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 022",948,77,866,1,0,,0,2,1,0,0,1
,"CITY OF MILWAUKEE WARD 023",468,28,439,0,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 024",574,6,565,2,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 025",972,87,881,2,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 026",905,73,830,1,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 027",755,77,675,0,1,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 028",296,24,272,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 029",489,42,442,2,2,,0,1,0,0,0,0
,"CITY OF MILWAUKEE WARD 030",939,112,821,1,2,,0,0,1,0,0,2
,"CITY OF MILWAUKEE WARD 031",852,64,786,0,0,,0,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 032","1,788",262,"1,513",2,6,,0,0,1,0,0,4
,"CITY OF MILWAUKEE WARD 033","2,224",809,"1,401",3,5,,0,0,1,0,0,5
,"CITY OF MILWAUKEE WARD 034","1,304",314,981,0,5,,0,0,1,0,0,3
,"CITY OF MILWAUKEE WARD 035",911,303,602,4,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 036",916,98,813,1,2,,0,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 037","1,034",75,955,1,1,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 038",732,71,658,0,2,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 039",831,125,698,2,2,,0,0,2,0,0,2
,"CITY OF MILWAUKEE WARD 040",868,60,802,3,1,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 041",790,55,729,2,1,,1,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 042","1,002",110,890,0,0,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 043",729,16,708,1,2,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 044","1,109",91,"1,010",0,1,,0,1,2,0,0,4
,"CITY OF MILWAUKEE WARD 045",915,84,825,2,0,,0,0,0,0,0,4
,"CITY OF MILWAUKEE WARD 046",623,36,583,0,4,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 047","1,208",37,"1,171",0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 048",544,58,483,2,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 049",755,38,717,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 050",743,42,697,0,1,,0,0,0,0,0,3
,"CITY OF MILWAUKEE WARD 051",736,22,712,1,0,,0,1,0,0,0,0
,"CITY OF MILWAUKEE WARD 052","1,008",56,948,1,0,,0,0,0,0,0,3
,"CITY OF MILWAUKEE WARD 053",534,33,500,0,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 054",627,10,615,0,0,,0,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 055","1,317",205,"1,109",3,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 056",765,14,751,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 057","1,089",8,"1,078",0,0,,1,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 058",766,4,762,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 059","1,583",33,"1,547",1,0,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 060","1,116",14,"1,098",2,1,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 061",999,12,985,1,0,,1,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 062",831,7,822,0,0,,0,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 063",829,4,823,0,0,,0,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 064","1,672",51,"1,617",0,0,,0,0,0,0,0,4
,"CITY OF MILWAUKEE WARD 065","1,275",38,"1,235",0,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 066",931,6,925,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 067",708,31,675,0,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 068","1,318",95,"1,218",3,2,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 069","1,044",53,987,0,2,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 070","1,405",59,"1,340",3,2,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 071",774,43,729,1,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 072","1,042",85,954,1,0,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 073","1,182",117,"1,063",0,2,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 074",774,69,702,1,1,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 075",704,173,524,2,1,,0,1,1,0,0,2
,"CITY OF MILWAUKEE WARD 076",843,82,755,1,2,,0,0,1,0,0,2
,"CITY OF MILWAUKEE WARD 077",704,113,586,2,3,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 078","1,221",193,"1,023",3,1,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 079","1,170",212,952,2,3,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 080","1,543",482,"1,050",4,3,,0,0,2,0,0,2
,"CITY OF MILWAUKEE WARD 081",603,317,280,1,2,,1,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 082",817,379,426,2,5,,0,0,1,0,0,4
,"CITY OF MILWAUKEE WARD 083","1,035",460,562,3,7,,0,0,2,0,0,1
,"CITY OF MILWAUKEE WARD 084",749,306,435,4,2,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 085",963,441,517,0,0,,0,0,3,0,0,2
,"CITY OF MILWAUKEE WARD 086",913,407,496,2,5,,0,0,2,0,0,1
,"CITY OF MILWAUKEE WARD 087",602,216,380,1,4,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 088",791,314,471,0,5,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 089","1,050",358,677,3,5,,0,0,4,0,0,3
,"CITY OF MILWAUKEE WARD 090",972,295,668,1,4,,0,1,2,0,0,1
,"CITY OF MILWAUKEE WARD 091","1,459",166,"1,288",1,2,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 092","1,372",377,988,0,4,,0,0,3,0,0,0
,"CITY OF MILWAUKEE WARD 093",636,234,393,0,5,,0,0,2,0,0,2
,"CITY OF MILWAUKEE WARD 094",576,27,548,0,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 095",642,42,600,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 096","1,094",138,950,2,1,,0,0,3,0,0,0
,"CITY OF MILWAUKEE WARD 097","1,019",237,773,0,5,,0,0,0,0,0,4
,"CITY OF MILWAUKEE WARD 098",745,34,709,1,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 099","1,227",92,"1,131",1,1,,1,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 100",828,26,801,0,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 101","1,181",22,"1,154",1,1,,0,0,2,0,0,1
,"CITY OF MILWAUKEE WARD 102","1,383",43,"1,335",2,0,,0,0,0,0,0,3
,"CITY OF MILWAUKEE WARD 103","1,716",60,"1,651",2,1,,0,1,0,0,0,1
,"CITY OF MILWAUKEE WARD 104","1,504",24,"1,478",1,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 105",720,4,716,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 106",631,2,627,0,1,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 107",955,7,945,0,0,,0,0,1,0,0,2
,"CITY OF MILWAUKEE WARD 108",954,10,942,1,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 109","1,081",8,"1,071",1,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 110",619,2,616,0,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 111",934,7,924,0,2,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 112",952,7,941,1,0,,0,0,0,0,0,3
,"CITY OF MILWAUKEE WARD 113",821,2,818,0,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 114",704,7,696,0,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 115","1,146",12,"1,132",1,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 116",718,1,715,1,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 117",872,3,869,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 118",921,11,905,0,1,,0,0,1,0,0,3
,"CITY OF MILWAUKEE WARD 119",839,7,827,1,2,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 120",918,6,910,1,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 121",838,4,832,0,1,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 122",982,19,958,0,2,,1,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 123","1,086",63,"1,005",1,4,,0,0,11,0,0,2
,"CITY OF MILWAUKEE WARD 124",732,86,635,1,4,,0,0,4,0,0,2
,"CITY OF MILWAUKEE WARD 125","1,165",178,956,2,9,,1,2,14,0,0,3
,"CITY OF MILWAUKEE WARD 126",932,100,811,0,5,,1,0,14,0,0,1
,"CITY OF MILWAUKEE WARD 127","1,369",340,997,0,18,,0,1,10,0,0,3
,"CITY OF MILWAUKEE WARD 128","1,648",449,"1,138",0,37,,0,0,16,0,0,8
,"CITY OF MILWAUKEE WARD 129","1,050",311,715,0,17,,0,0,5,0,0,2
,"CITY OF MILWAUKEE WARD 130","1,358",403,934,0,12,,1,0,2,0,0,6
,"CITY OF MILWAUKEE WARD 131","1,173",417,743,1,4,,1,0,4,0,0,3
,"CITY OF MILWAUKEE WARD 132","1,562",527,"1,025",0,6,,1,0,2,0,0,1
,"CITY OF MILWAUKEE WARD 133",868,190,655,1,11,,0,1,4,0,0,6
,"CITY OF MILWAUKEE WARD 134","1,034",253,745,5,21,,1,0,7,0,0,2
,"CITY OF MILWAUKEE WARD 135","1,043",238,785,1,10,,1,1,4,0,0,3
,"CITY OF MILWAUKEE WARD 136","1,226",275,911,2,26,,1,1,6,0,0,4
,"CITY OF MILWAUKEE WARD 137",745,138,588,2,10,,0,0,4,0,0,3
,"CITY OF MILWAUKEE WARD 138","2,104",179,"1,850",1,34,,4,0,28,0,0,8
,"CITY OF MILWAUKEE WARD 139","1,593",91,"1,465",0,13,,1,1,18,0,0,4
,"CITY OF MILWAUKEE WARD 140",592,12,578,0,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 141",803,16,782,3,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 142",701,5,695,0,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 143",850,5,843,2,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 144",515,14,500,0,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 145",395,2,392,0,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 146",321,2,319,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 147","1,355",6,"1,345",0,1,,0,0,0,0,0,3
,"CITY OF MILWAUKEE WARD 148",935,8,925,1,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 149","1,084",5,"1,075",2,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 150",876,17,858,0,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 151",671,8,663,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 152",604,2,600,1,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 153",959,38,917,1,1,,0,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 154",753,16,733,0,1,,1,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 155",751,5,744,1,0,,0,1,0,0,0,0
,"CITY OF MILWAUKEE WARD 156",881,18,860,0,0,,1,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 157",726,31,693,0,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 158",583,28,552,0,0,,1,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 159",612,34,576,1,0,,0,1,0,0,0,0
,"CITY OF MILWAUKEE WARD 160",829,10,818,1,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 161",257,5,252,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 162",442,7,434,0,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 163",896,33,857,0,2,,0,0,1,0,0,3
,"CITY OF MILWAUKEE WARD 164",951,119,825,0,2,,0,1,3,0,0,1
,"CITY OF MILWAUKEE WARD 165",936,154,768,1,6,,0,0,6,0,0,1
,"CITY OF MILWAUKEE WARD 166",360,59,293,1,5,,1,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 167",896,187,696,1,9,,0,0,1,0,0,2
,"CITY OF MILWAUKEE WARD 168","1,513",370,"1,122",1,16,,0,1,2,0,0,1
,"CITY OF MILWAUKEE WARD 169",733,13,720,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 170",504,9,495,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 171",230,10,218,1,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 172",618,19,598,0,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 173",806,4,800,0,0,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 174","1,185",14,"1,170",0,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 175",566,57,506,0,0,,0,0,2,0,0,1
,"CITY OF MILWAUKEE WARD 176",971,25,942,0,3,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 177","1,900",517,"1,349",0,21,,1,0,11,0,0,1
,"CITY OF MILWAUKEE WARD 178","1,420",366,"1,013",1,28,,0,0,9,0,0,3
,"CITY OF MILWAUKEE WARD 179","1,666",350,"1,274",3,21,,1,1,12,0,0,4
,"CITY OF MILWAUKEE WARD 180","1,196",376,799,1,16,,0,0,3,0,0,1
,"CITY OF MILWAUKEE WARD 181","1,478",482,970,1,12,,0,0,9,0,0,4
,"CITY OF MILWAUKEE WARD 182","1,676",459,"1,177",2,26,,1,0,7,0,0,4
,"CITY OF MILWAUKEE WARD 183","1,879",579,"1,271",2,20,,0,0,5,0,0,2
,"CITY OF MILWAUKEE WARD 184","1,651",546,"1,064",1,24,,0,0,12,0,0,4
,"CITY OF MILWAUKEE WARD 185","2,225",829,"1,346",2,38,,0,0,6,0,0,4
,"CITY OF MILWAUKEE WARD 186","1,945",828,"1,086",0,19,,2,0,6,0,0,4
,"CITY OF MILWAUKEE WARD 187",440,163,265,0,6,,0,0,4,0,0,2
,"CITY OF MILWAUKEE WARD 188",455,156,289,0,6,,0,0,3,0,0,1
,"CITY OF MILWAUKEE WARD 189",575,46,523,0,2,,0,1,1,0,0,2
,"CITY OF MILWAUKEE WARD 190","1,513",630,846,1,18,,1,1,12,0,0,4
,"CITY OF MILWAUKEE WARD 191","1,185",533,628,0,18,,0,0,2,0,0,4
,"CITY OF MILWAUKEE WARD 192","1,281",454,797,0,22,,0,0,5,0,0,3
,"CITY OF MILWAUKEE WARD 193",878,37,836,3,0,,0,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 194",713,99,604,0,4,,0,0,4,0,0,2
,"CITY OF MILWAUKEE WARD 195",605,37,567,0,0,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 196","1,079",83,987,0,3,,0,1,5,0,0,0
,"CITY OF MILWAUKEE WARD 197",472,30,441,0,0,,1,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 198","1,112",71,"1,031",3,3,,1,0,1,0,0,2
,"CITY OF MILWAUKEE WARD 199",744,31,707,0,3,,0,0,3,0,0,0
,"CITY OF MILWAUKEE WARD 200",536,41,492,0,2,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 201",550,28,518,0,1,,0,0,2,0,0,1
,"CITY OF MILWAUKEE WARD 202",844,111,720,0,6,,0,0,3,1,0,3
,"CITY OF MILWAUKEE WARD 203","1,055",305,725,3,11,,1,0,5,0,0,5
,"CITY OF MILWAUKEE WARD 204",856,251,588,4,6,,0,0,3,0,0,4
,"CITY OF MILWAUKEE WARD 205",842,294,537,0,6,,0,0,3,1,0,1
,"CITY OF MILWAUKEE WARD 206",648,244,392,1,7,,0,0,3,0,0,1
,"CITY OF MILWAUKEE WARD 207",789,298,471,5,3,,1,1,6,0,0,4
,"CITY OF MILWAUKEE WARD 208",879,347,516,2,7,,0,0,4,0,0,3
,"CITY OF MILWAUKEE WARD 209",813,412,383,2,10,,0,0,2,0,0,4
,"CITY OF MILWAUKEE WARD 210",779,461,306,1,6,,0,0,2,0,0,3
,"CITY OF MILWAUKEE WARD 211",757,327,421,2,3,,0,0,3,0,0,1
,"CITY OF MILWAUKEE WARD 212",883,354,518,0,5,,1,1,1,0,0,3
,"CITY OF MILWAUKEE WARD 213","1,005",356,629,1,9,,0,1,6,0,0,3
,"CITY OF MILWAUKEE WARD 214",475,87,378,2,5,,0,0,1,0,0,2
,"CITY OF MILWAUKEE WARD 215",409,36,368,0,3,,0,2,0,0,0,0
,"CITY OF MILWAUKEE WARD 216",405,47,358,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 217",672,107,553,0,8,,2,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 218",799,146,648,1,2,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 219",561,88,471,0,0,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 220",587,119,464,1,2,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 221",972,183,785,1,3,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 222",670,90,577,0,2,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 223",690,111,575,0,1,,0,0,3,0,0,0
,"CITY OF MILWAUKEE WARD 224",517,87,426,0,2,,1,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 225",547,61,484,1,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 226",287,37,250,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 227",941,100,826,2,8,,1,0,4,0,0,0
,"CITY OF MILWAUKEE WARD 228",516,45,469,0,2,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 229",405,42,362,0,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 230",756,64,685,2,1,,0,0,1,0,0,3
,"CITY OF MILWAUKEE WARD 231",412,40,368,0,2,,2,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 232",321,24,295,1,0,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 233",276,17,259,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 234",356,39,315,0,0,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 235","1,159",333,798,0,15,,1,0,8,0,0,4
,"CITY OF MILWAUKEE WARD 236",528,49,476,0,0,,1,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 237",739,54,679,1,1,,0,1,2,0,0,1
,"CITY OF MILWAUKEE WARD 238",615,59,554,0,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 239",512,56,453,0,2,,1,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 240",619,57,559,1,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 241",982,213,755,0,9,,0,0,1,0,0,4
,"CITY OF MILWAUKEE WARD 242",866,203,640,3,14,,1,0,5,0,0,0
,"CITY OF MILWAUKEE WARD 243","1,084",319,735,0,18,,1,0,9,0,0,2
,"CITY OF MILWAUKEE WARD 244",846,210,623,1,5,,0,1,4,0,0,2
,"CITY OF MILWAUKEE WARD 245",714,189,510,0,8,,0,0,6,0,0,1
,"CITY OF MILWAUKEE WARD 246","1,254",295,937,1,12,,0,0,6,0,0,3
,"CITY OF MILWAUKEE WARD 247",617,180,422,3,7,,0,1,2,0,0,2
,"CITY OF MILWAUKEE WARD 248","1,276",256,999,1,14,,1,0,3,0,0,2
,"CITY OF MILWAUKEE WARD 249",461,77,379,1,2,,0,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 250",402,52,345,0,3,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 251",264,28,236,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 252",518,92,422,2,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 253",278,44,233,0,1,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 254",251,36,215,0,0,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 255",367,50,313,0,3,,0,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 256",341,28,311,0,0,,1,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 257",695,94,594,1,3,,0,1,2,0,0,0
,"CITY OF MILWAUKEE WARD 258",757,164,587,0,4,,1,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 259",534,110,418,0,3,,1,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 260",376,140,230,1,3,,1,0,0,0,0,1
,"CITY OF MILWAUKEE WARD 261",524,211,309,0,4,,0,0,0,0,0,0
,"CITY OF MILWAUKEE WARD 262","1,067",451,601,3,11,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 263",588,215,365,0,3,,0,0,5,0,0,0
,"CITY OF MILWAUKEE WARD 264","1,207",512,678,2,4,,0,0,3,0,0,8
,"CITY OF MILWAUKEE WARD 265",664,271,383,0,7,,1,0,1,0,0,1
,"CITY OF MILWAUKEE WARD 266",736,375,350,3,6,,0,0,2,0,0,0
,"CITY OF MILWAUKEE WARD 267",646,274,363,1,4,,0,0,2,0,0,2
,"CITY OF MILWAUKEE WARD 268","1,444",642,785,2,9,,1,1,1,0,0,3
,"CITY OF MILWAUKEE WARD 269",917,401,506,2,5,,0,0,1,0,0,2
,"CITY OF MILWAUKEE WARD 270",835,400,424,2,3,,0,0,3,0,0,3
,"CITY OF MILWAUKEE WARD 271","1,420",668,740,4,5,,0,0,3,0,0,0
,"CITY OF MILWAUKEE WARD 272","1,069",516,545,6,1,,0,0,1,0,0,0
,"CITY OF MILWAUKEE WARD 273",659,331,322,0,4,,0,0,0,0,0,2
,"CITY OF MILWAUKEE WARD 274",640,313,321,0,3,,0,0,0,0,0,3
,"CITY OF MILWAUKEE WARD 275","1,487",604,861,1,10,,0,2,6,0,0,3
,"CITY OF MILWAUKEE WARD 276","1,283",647,621,1,10,,0,0,1,0,0,3
,"CITY OF MILWAUKEE WARD 277","1,306",574,716,2,10,,1,0,1,0,0,2
,"CITY OF MILWAUKEE WARD 278",769,368,387,1,7,,1,0,2,0,0,3
,"CITY OF MILWAUKEE WARD 279","1,107",480,610,0,12,,0,1,3,0,0,1
