city,county,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12
VILLAGE OF FAIRCHILD,EAU CLAIRE,199,119,72,1,4,0,2,0,1,217,83,129,0,4,0,0
VILLAGE OF FALL CREEK,EAU CLAIRE,731,371,303,6,39,0,5,4,3,747,343,389,4,9,0,0
CITY OF ALTOONA,EAU CLAIRE,3831,1717,1816,15,163,0,56,21,43,3576,1555,1977,7,30,0,0
CITY OF AUGUSTA,EAU CLAIRE,620,361,232,3,14,0,3,4,3,636,294,331,1,8,0,0
CITY OF EAU CLAIRE,EAU CLAIRE,35351,13077,19185,145,1803,0,521,219,401,35584,13741,21177,46,531,0,0
TOWN OF AURORA,FLORENCE,550,407,127,0,15,0,0,1,0,541,340,197,0,3,0,0
TOWN OF COMMONWEALTH,FLORENCE,228,161,60,2,3,0,2,0,0,221,130,87,1,1,0,0
TOWN OF FENCE,FLORENCE,135,104,26,0,1,0,3,1,0,127,76,47,2,1,0,0
TOWN OF FERN,FLORENCE,126,94,23,0,4,0,2,3,0,116,75,38,0,2,0,0
TOWN OF FLORENCE,FLORENCE,1163,782,335,2,35,0,9,0,0,1194,747,438,1,7,0,0
TOWN OF HOMESTEAD,FLORENCE,240,185,52,0,1,0,1,1,0,220,130,88,2,0,0,0
TOWN OF LONG LAKE,FLORENCE,110,76,29,2,3,0,0,0,0,105,66,38,0,0,0,0
TOWN OF TIPLER,FLORENCE,104,89,13,0,2,0,0,0,0,101,81,20,0,0,0,0
TOWN OF ALTO,FOND DU LAC,607,506,68,9,9,0,5,3,7,619,465,150,3,1,0,0
TOWN OF ASHFORD,FOND DU LAC,1002,745,204,9,32,0,2,5,5,1033,733,288,3,8,0,0
TOWN OF AUBURN,FOND DU LAC,1421,1084,265,9,41,0,8,9,5,1434,1057,352,6,19,0,0
TOWN OF BYRON,FOND DU LAC,972,697,212,6,32,0,10,8,7,1005,696,300,2,6,0,0
TOWN OF CALUMET,FOND DU LAC,849,564,229,1,40,0,2,7,6,864,549,310,3,2,0,0
TOWN OF EDEN,FOND DU LAC,625,473,121,5,17,0,3,4,2,648,467,173,1,7,0,0
TOWN OF ELDORADO,FOND DU LAC,850,608,197,3,33,0,4,2,3,837,550,277,1,9,0,0
TOWN OF EMPIRE,FOND DU LAC,1749,1095,546,5,57,0,6,21,19,1846,1212,621,6,7,0,0
TOWN OF FOND DU LAC,FOND DU LAC,1983,1203,654,11,61,0,14,16,24,1976,1194,756,2,20,0,0
TOWN OF FOREST,FOND DU LAC,670,485,141,5,22,0,4,5,8,645,474,165,1,5,0,0
TOWN OF FRIENDSHIP,FOND DU LAC,1422,931,425,5,33,0,18,1,9,1421,801,612,2,6,0,0
TOWN OF LAMARTINE,FOND DU LAC,1021,722,243,2,35,0,6,10,3,1048,688,341,6,9,0,0
TOWN OF MARSHFIELD,FOND DU LAC,650,444,168,7,22,0,2,1,6,662,456,201,4,1,0,0
TOWN OF METOMEN,FOND DU LAC,401,282,87,2,23,0,3,2,2,405,258,140,3,4,0,0
TOWN OF OAKFIELD,FOND DU LAC,379,259,97,2,9,0,3,6,3,383,247,127,1,8,0,0
TOWN OF OSCEOLA,FOND DU LAC,1092,801,251,1,24,0,6,4,5,1150,840,296,3,10,0,0
TOWN OF RIPON,FOND DU LAC,787,479,251,1,34,0,13,5,4,799,479,309,3,8,0,0
TOWN OF ROSENDALE,FOND DU LAC,405,284,99,2,12,0,4,2,2,420,276,139,2,3,0,0
TOWN OF SPRINGVALE,FOND DU LAC,389,282,91,3,6,0,3,2,2,390,247,138,1,3,0,0
TOWN OF TAYCHEEDAH,FOND DU LAC,2817,1818,856,5,85,0,16,13,24,2816,1872,919,2,20,0,0
TOWN OF WAUPUN,FOND DU LAC,787,548,201,6,14,0,7,5,6,830,540,280,0,9,0,0
VILLAGE OF BRANDON,FOND DU LAC,438,293,113,4,21,0,3,1,3,450,272,172,0,3,0,0
VILLAGE OF CAMPBELLSPORT,FOND DU LAC,968,643,242,6,48,0,15,5,9,1010,622,371,5,10,0,0
VILLAGE OF EDEN,FOND DU LAC,396,278,101,1,11,0,4,0,1,417,238,176,0,3,0,0
VILLAGE OF FAIRWATER,FOND DU LAC,163,111,43,1,6,0,0,1,1,187,115,70,0,1,0,0
VILLAGE OF MOUNT CALVARY,FOND DU LAC,304,203,71,5,17,0,5,1,2,298,188,105,0,4,0,0
VILLAGE OF NORTH FOND DU LAC,FOND DU LAC,2372,1229,978,6,104,0,17,10,28,2398,1095,1273,3,23,0,0
VILLAGE OF OAKFIELD,FOND DU LAC,593,383,180,1,16,0,8,2,3,608,356,242,1,9,0,0
VILLAGE OF ROSENDALE,FOND DU LAC,578,397,159,1,17,0,2,1,1,594,371,216,5,1,0,0
VILLAGE OF ST. CLOUD,FOND DU LAC,322,213,87,3,16,0,2,0,1,299,200,96,0,3,0,0
CITY OF FOND DU LAC,FOND DU LAC,19305,9988,7900,85,795,0,203,126,208,20316,9965,10087,35,192,0,0
CITY OF RIPON,FOND DU LAC,3658,1817,1567,18,154,0,44,23,35,3776,1782,1932,8,48,0,0
CITY OF WAUPUN,FOND DU LAC,1821,1157,540,12,63,0,6,24,19,1818,1050,745,3,15,0,0
TOWN OF ALVIN,FOREST,100,69,28,1,1,0,1,0,0,106,56,49,0,1,0,0
TOWN OF ARGONNE,FOREST,272,187,71,4,4,0,4,2,0,253,103,141,1,7,0,0
TOWN OF ARMSTRONG CREEK,FOREST,223,154,64,0,1,0,2,0,2,223,112,111,0,0,0,0
TOWN OF BLACKWELL,FOREST,59,37,17,0,2,0,0,0,3,100,39,58,0,3,0,0
TOWN OF CASWELL,FOREST,47,35,12,0,0,0,0,0,0,52,31,21,0,0,0,0
TOWN OF CRANDON,FOREST,329,205,116,1,6,0,0,0,1,319,126,187,4,2,0,0
TOWN OF FREEDOM,FOREST,222,143,74,2,2,0,1,0,0,223,135,87,0,1,0,0
TOWN OF HILES,FOREST,255,161,89,0,1,0,2,0,2,240,122,115,1,2,0,0
TOWN OF LAONA,FOREST,601,359,213,3,17,0,0,4,5,624,300,320,0,1,0,0
TOWN OF LINCOLN,FOREST,509,292,206,0,5,0,3,0,3,511,226,282,0,3,0,0
TOWN OF NASHVILLE,FOREST,582,314,244,3,9,0,10,0,2,601,269,327,2,3,0,0
TOWN OF POPPLE RIVER,FOREST,24,10,12,0,2,0,0,0,0,23,10,13,0,0,0,0
TOWN OF ROSS,FOREST,71,57,11,0,3,0,0,0,0,78,44,32,0,2,0,0
TOWN OF WABENO,FOREST,464,260,169,1,18,0,11,0,5,485,220,260,1,3,0,0
CITY OF CRANDON,FOREST,787,504,253,2,13,0,9,3,3,810,379,422,2,5,0,0
TOWN OF BEETOWN,GRANT,310,216,79,1,11,0,1,1,1,301,168,128,1,3,0,0
TOWN OF BLOOMINGTON,GRANT,205,142,53,0,6,0,1,0,3,171,95,74,0,2,0,0
TOWN OF BOSCOBEL,GRANT,183,90,82,1,6,0,2,1,1,196,83,110,0,2,0,0
TOWN OF CASSVILLE,GRANT,190,123,59,0,5,0,1,0,2,197,93,101,0,2,0,0
TOWN OF CASTLE ROCK,GRANT,146,87,47,2,7,0,3,0,0,135,57,77,0,1,0,0
TOWN OF CLIFTON,GRANT,131,63,59,0,8,0,0,0,1,151,68,81,1,1,0,0
TOWN OF ELLENBORO,GRANT,284,178,95,1,4,0,5,0,1,289,151,135,3,0,0,0
TOWN OF FENNIMORE,GRANT,242,152,73,3,8,0,3,0,3,247,118,126,2,1,0,0
TOWN OF GLEN HAVEN,GRANT,185,127,50,2,4,0,1,1,0,180,98,81,0,0,0,0
TOWN OF HARRISON,GRANT,259,157,87,3,10,0,0,0,2,275,148,124,0,3,0,0
TOWN OF HAZEL GREEN,GRANT,635,286,315,3,21,0,4,6,0,643,259,375,1,8,0,0
TOWN OF HICKORY GROVE,GRANT,174,105,59,0,5,0,1,1,3,169,90,77,0,1,0,0
TOWN OF JAMESTOWN,GRANT,1049,644,349,6,31,0,14,3,2,1071,552,501,4,10,0,0
TOWN OF LIBERTY,GRANT,234,145,72,1,14,0,0,0,2,258,137,119,1,1,0,0
TOWN OF LIMA,GRANT,348,185,138,5,12,0,4,3,1,375,170,198,3,3,0,0
TOWN OF LITTLE GRANT,GRANT,141,90,46,1,2,0,0,0,2,112,65,45,0,2,0,0
TOWN OF MARION,GRANT,225,141,76,1,4,0,2,0,1,234,93,138,2,1,0,0
TOWN OF MILLVILLE,GRANT,95,47,41,0,5,0,1,0,1,91,32,58,1,0,0,0
TOWN OF MOUNT HOPE,GRANT,103,68,32,0,1,0,0,0,2,101,50,51,0,0,0,0
TOWN OF MOUNT IDA,GRANT,269,172,82,1,9,0,2,0,3,246,133,111,0,2,0,0
TOWN OF MUSCODA,GRANT,302,190,98,0,5,0,7,1,1,303,134,165,0,4,0,0
TOWN OF NORTH LANCASTER,GRANT,267,183,77,0,2,0,1,2,2,264,141,122,1,0,0,0
TOWN OF PARIS,GRANT,376,237,125,0,9,0,2,0,3,381,204,176,0,1,0,0
TOWN OF PATCH GROVE,GRANT,173,92,63,0,12,0,5,1,0,154,67,82,0,5,0,0
TOWN OF PLATTEVILLE,GRANT,803,396,352,4,33,0,6,5,7,822,398,416,2,5,0,0
TOWN OF POTOSI,GRANT,425,246,157,3,13,0,1,1,4,418,181,229,2,2,0,0
TOWN OF SMELSER,GRANT,451,245,180,0,17,0,3,0,6,457,221,230,1,5,0,0
TOWN OF SOUTH LANCASTER,GRANT,316,184,118,2,8,0,1,0,3,335,171,157,2,5,0,0
TOWN OF WATERLOO,GRANT,263,157,88,4,6,0,5,0,3,254,110,124,0,1,0,0
TOWN OF WATTERSTOWN,GRANT,163,91,65,0,3,0,1,0,3,152,67,84,0,0,0,0
TOWN OF WINGVILLE,GRANT,150,80,60,1,3,0,4,0,2,166,71,94,0,1,0,0
TOWN OF WOODMAN,GRANT,82,55,24,0,2,0,1,0,0,76,37,36,0,2,0,0
TOWN OF WYALUSING,GRANT,198,107,77,1,5,0,1,1,6,185,80,105,0,0,0,0
VILLAGE OF BAGLEY,GRANT,194,92,84,2,8,0,4,0,4,172,47,123,0,1,0,0
VILLAGE OF BLOOMINGTON,GRANT,362,203,134,1,15,0,1,3,5,343,160,177,2,4,0,0
VILLAGE OF BLUE RIVER,GRANT,187,91,84,0,8,0,2,0,2,203,80,118,1,4,0,0
VILLAGE OF CASSVILLE,GRANT,399,202,176,1,16,0,3,0,1,390,158,226,1,2,0,0
VILLAGE OF DICKEYVILLE,GRANT,527,274,223,5,17,0,4,2,2,562,261,291,2,7,0,0
VILLAGE OF HAZEL GREEN,GRANT,559,261,271,1,14,0,8,1,3,585,205,376,0,4,0,0
VILLAGE OF LIVINGSTON,GRANT,288,124,134,2,23,0,4,0,1,322,108,210,1,3,0,0
VILLAGE OF MONTFORT,GRANT,266,122,124,1,17,0,1,1,0,266,93,169,0,4,0,0
VILLAGE OF MOUNT HOPE,GRANT,82,40,30,3,5,0,3,0,1,67,23,43,0,1,0,0
VILLAGE OF MUSCODA,GRANT,503,249,202,4,22,0,17,2,7,558,180,372,0,6,0,0
VILLAGE OF PATCH GROVE,GRANT,92,45,37,0,5,0,3,0,2,70,27,43,0,0,0,0
VILLAGE OF POTOSI,GRANT,358,198,143,2,9,0,3,1,2,372,154,213,1,3,0,0
VILLAGE OF TENNYSON,GRANT,178,99,68,5,6,0,0,0,0,182,81,100,1,0,0,0
VILLAGE OF WOODMAN,GRANT,41,24,14,1,1,0,0,0,1,47,15,29,0,3,0,0
CITY OF BOSCOBEL,GRANT,1222,599,528,6,43,0,18,1,27,1219,402,803,5,7,0,0
CITY OF CUBA CITY,GRANT,843,384,400,5,30,0,10,1,13,923,338,573,3,7,0,0
CITY OF FENNIMORE,GRANT,1068,550,452,8,33,0,11,6,8,1141,478,652,0,11,0,0
CITY OF LANCASTER,GRANT,1727,902,710,1,70,0,25,3,16,1820,816,981,6,14,0,0
CITY OF PLATTEVILLE,GRANT,6095,2410,2859,39,531,0,119,38,99,5597,2087,3365,12,117,0,0
TOWN OF ADAMS,GREEN,291,146,137,0,6,0,1,0,1,298,127,167,1,2,0,0
TOWN OF ALBANY,GREEN,656,339,275,2,26,0,8,0,6,617,258,350,3,5,0,0
TOWN OF BROOKLYN,GREEN,674,294,352,0,20,0,5,2,1,690,283,399,2,5,0,0
TOWN OF CADIZ,GREEN,450,274,161,1,10,0,2,0,2,430,205,214,3,6,0,0
TOWN OF CLARNO,GREEN,646,376,232,5,21,0,5,2,5,622,316,301,2,2,0,0
TOWN OF DECATUR,GREEN,942,499,389,4,25,0,11,3,11,989,458,524,0,6,0,0
TOWN OF EXETER,GREEN,1163,406,682,3,47,0,14,4,7,1159,411,740,1,5,0,0
TOWN OF JEFFERSON,GREEN,627,395,193,3,25,0,10,0,1,625,351,266,1,7,0,0
TOWN OF JORDAN,GREEN,319,174,129,2,10,0,1,1,2,355,168,180,0,6,0,0
TOWN OF MONROE,GREEN,715,371,301,4,22,0,5,7,5,682,347,321,1,11,0,0
TOWN OF MOUNT PLEASANT,GREEN,328,158,151,2,10,0,6,0,1,347,138,205,0,3,0,0
TOWN OF NEW GLARUS,GREEN,821,338,441,0,26,0,5,5,6,809,369,432,1,4,0,0
TOWN OF SPRING GROVE,GREEN,467,275,162,1,23,0,3,1,2,485,256,225,0,4,0,0
TOWN OF SYLVESTER,GREEN,567,312,225,2,23,0,3,1,1,591,323,266,0,2,0,0
TOWN OF WASHINGTON,GREEN,451,212,223,2,9,0,2,1,2,455,172,282,0,1,0,0
TOWN OF YORK,GREEN,546,219,294,6,11,0,7,4,5,556,202,345,1,7,0,0
VILLAGE OF ALBANY,GREEN,478,198,245,2,25,0,6,0,2,507,139,363,1,3,0,0
VILLAGE OF BELLEVILLE,GREEN,292,97,169,2,11,0,7,3,3,293,88,204,0,1,0,0
VILLAGE OF BROOKLYN,GREEN,252,87,143,2,14,0,4,0,2,244,75,164,1,2,0,0
VILLAGE OF BROWNTOWN,GREEN,120,67,43,1,5,0,1,0,3,143,62,76,1,4,0,0
VILLAGE OF MONTICELLO,GREEN,633,239,353,3,25,0,7,1,5,674,225,438,0,7,0,0
VILLAGE OF NEW GLARUS,GREEN,1217,362,773,3,49,0,12,6,12,1256,351,888,1,15,0,0
CITY OF BRODHEAD,GREEN,1348,688,563,5,55,0,16,5,16,1385,525,821,2,31,0,0
CITY OF MONROE,GREEN,4982,2167,2486,24,189,0,55,18,43,5110,2008,3035,7,52,0,0
TOWN OF BERLIN,GREEN LAKE,669,491,145,4,19,0,4,2,4,682,477,203,1,1,0,0
TOWN OF BROOKLYN,GREEN LAKE,1134,732,325,7,39,0,8,16,7,1179,750,422,2,5,0,0
TOWN OF GREEN LAKE,GREEN LAKE,714,503,169,4,22,0,3,5,8,745,542,198,1,4,0,0
TOWN OF KINGSTON,GREEN LAKE,291,203,60,9,14,0,3,0,2,293,183,109,1,0,0,0
TOWN OF MACKFORD,GREEN LAKE,286,237,42,0,4,0,2,0,1,305,222,82,0,1,0,0
TOWN OF MANCHESTER,GREEN LAKE,357,256,87,3,4,0,3,3,1,402,270,128,0,3,0,0
TOWN OF MARQUETTE,GREEN LAKE,277,194,73,1,5,0,1,1,2,286,170,114,1,1,0,0
TOWN OF PRINCETON,GREEN LAKE,872,584,251,2,20,0,9,1,5,855,500,345,2,5,0,0
TOWN OF ST. MARIE,GREEN LAKE,231,159,65,1,3,0,0,1,2,220,137,79,0,3,0,0
TOWN OF SENECA,GREEN LAKE,229,152,67,0,6,0,2,1,1,214,130,82,0,2,0,0
VILLAGE OF KINGSTON,GREEN LAKE,169,114,43,0,6,0,4,1,1,181,103,77,1,0,0,0
VILLAGE OF MARQUETTE,GREEN LAKE,87,52,31,0,3,0,1,0,0,69,44,25,0,0,0,0
CITY OF BERLIN,GREEN LAKE,2248,1348,774,6,85,0,19,7,9,2337,1208,1088,10,27,0,0
CITY OF GREEN LAKE,GREEN LAKE,562,330,205,4,15,0,1,4,3,581,335,243,1,1,0,0
CITY OF MARKESAN,GREEN LAKE,686,477,174,6,13,0,6,4,6,715,436,270,1,7,0,0
CITY OF PRINCETON,GREEN LAKE,604,384,182,1,18,0,9,4,6,611,275,328,1,6,0,0
TOWN OF ARENA,IOWA,801,325,436,3,18,0,9,4,6,875,288,582,0,1,0,0
TOWN OF BRIGHAM,IOWA,636,229,372,1,24,0,3,2,5,628,228,386,2,10,0,0
TOWN OF CLYDE,IOWA,196,68,111,1,9,0,7,0,0,188,70,114,0,4,0,0
TOWN OF DODGEVILLE,IOWA,947,391,515,2,24,0,8,1,6,1023,397,614,0,9,0,0
TOWN OF EDEN,IOWA,208,99,93,1,11,0,0,1,3,213,90,121,1,1,0,0
TOWN OF HIGHLAND,IOWA,378,183,176,2,10,0,3,1,3,395,149,242,1,3,0,0
TOWN OF LINDEN,IOWA,381,207,157,4,4,0,3,2,4,382,171,208,1,2,0,0
TOWN OF MIFFLIN,IOWA,276,145,108,4,8,0,4,3,4,293,127,161,1,4,0,0
TOWN OF MINERAL POINT,IOWA,482,243,215,3,13,0,0,4,4,515,241,274,0,0,0,0
TOWN OF MOSCOW,IOWA,339,136,185,2,6,0,5,1,4,372,129,239,0,2,0,0
TOWN OF PULASKI,IOWA,180,96,79,0,3,0,2,0,0,174,89,84,0,1,0,0
TOWN OF RIDGEWAY,IOWA,355,126,212,3,13,0,0,0,1,367,110,254,0,3,0,0
TOWN OF WALDWICK,IOWA,259,97,140,0,15,0,0,2,5,266,100,166,0,0,0,0
TOWN OF WYOMING,IOWA,221,61,144,0,7,0,5,2,2,206,61,144,0,1,0,0
VILLAGE OF ARENA,IOWA,406,150,222,2,18,0,5,2,7,440,120,313,2,3,0,0
VILLAGE OF AVOCA,IOWA,230,108,105,1,8,0,6,1,1,253,65,187,0,1,0,0
VILLAGE OF BARNEVELD,IOWA,639,215,375,4,38,0,2,0,5,614,181,426,1,6,0,0
VILLAGE OF BLANCHARDVILLE,IOWA,85,27,53,0,4,0,0,0,1,98,31,63,0,4,0,0
VILLAGE OF COBB,IOWA,246,96,126,4,15,0,2,0,3,251,82,165,0,4,0,0
VILLAGE OF HIGHLAND,IOWA,390,175,195,2,10,0,2,2,4,421,138,273,1,7,0,0
VILLAGE OF HOLLANDALE,IOWA,145,31,104,1,3,0,1,0,5,144,36,107,0,1,0,0
VILLAGE OF LINDEN,IOWA,229,92,120,0,11,0,2,1,3,243,55,185,1,1,0,0
VILLAGE OF LIVINGSTON,IOWA,2,2,0,0,0,0,0,0,0,4,0,4,0,0,0,0
VILLAGE OF MONTFORT,IOWA,54,22,31,0,1,0,0,0,0,54,21,33,0,0,0,0
VILLAGE OF MUSCODA,IOWA,15,7,6,0,1,0,1,0,0,26,9,15,0,1,0,0
VILLAGE OF REWEY,IOWA,102,38,55,0,8,0,0,1,0,105,26,77,1,1,0,0
VILLAGE OF RIDGEWAY,IOWA,324,135,155,2,20,0,4,1,7,319,91,224,0,4,0,0
CITY OF DODGEVILLE,IOWA,2379,842,1340,9,130,0,26,0,32,2308,789,1487,1,28,0,0
CITY OF MINERAL POINT,IOWA,1370,463,839,9,24,0,16,5,14,1357,393,957,0,5,0,0
TOWN OF ANDERSON,IRON,47,23,22,0,2,0,0,0,0,46,20,26,0,0,0,0
TOWN OF CAREY,IRON,97,62,28,0,3,0,2,0,2,102,58,42,0,2,0,0
TOWN OF GURNEY,IRON,83,41,41,0,0,0,1,0,0,92,34,55,1,2,0,0
TOWN OF KIMBALL,IRON,294,171,112,0,7,0,3,0,1,319,155,156,3,5,0,0
TOWN OF KNIGHT,IRON,103,57,38,1,0,0,6,0,1,131,65,62,1,3,0,0
TOWN OF MERCER,IRON,993,634,309,2,24,0,7,2,15,992,561,415,3,6,0,0
TOWN OF OMA,IRON,242,155,84,0,1,0,1,1,0,225,130,92,0,2,0,0
TOWN OF PENCE,IRON,101,50,47,0,1,0,3,0,0,121,59,58,1,3,0,0
TOWN OF SAXON,IRON,215,130,74,1,6,0,3,0,1,208,96,108,0,4,0,0
TOWN OF SHERMAN,IRON,200,130,64,1,3,0,1,0,1,223,131,91,0,1,0,0
CITY OF HURLEY,IRON,709,396,281,2,16,0,7,0,7,728,286,431,1,10,0,0
CITY OF MONTREAL,IRON,429,232,175,1,7,0,6,3,5,445,195,248,0,2,0,0
TOWN OF ADAMS,JACKSON,770,427,301,3,22,0,15,2,0,803,383,417,1,2,0,0
TOWN OF ALBION,JACKSON,627,345,248,5,16,0,7,5,1,598,255,337,0,4,0,0
TOWN OF ALMA,JACKSON,459,281,152,2,16,0,5,1,2,500,269,224,1,6,0,0
TOWN OF BEAR BLUFF,JACKSON,81,69,6,1,3,0,0,2,0,85,67,14,0,2,0,0
TOWN OF BROCKWAY,JACKSON,817,331,432,4,27,0,10,1,12,797,226,563,1,4,0,0
TOWN OF CITY POINT,JACKSON,99,63,33,0,3,0,0,0,0,110,47,63,0,0,0,0
TOWN OF CLEVELAND,JACKSON,254,154,80,0,6,0,5,4,5,232,125,104,0,2,0,0
TOWN OF CURRAN,JACKSON,161,85,69,1,5,0,0,0,1,148,50,94,1,0,0,0
TOWN OF FRANKLIN,JACKSON,195,100,91,0,2,0,2,0,0,199,50,143,0,4,0,0
TOWN OF GARDEN VALLEY,JACKSON,231,142,74,4,6,0,1,2,2,242,136,103,0,1,0,0
TOWN OF GARFIELD,JACKSON,333,214,97,1,12,0,3,2,4,323,156,154,5,7,0,0
TOWN OF HIXTON,JACKSON,315,203,99,0,9,0,2,2,0,328,156,168,2,2,0,0
TOWN OF IRVING,JACKSON,357,191,145,2,16,0,2,0,1,365,143,220,0,2,0,0
TOWN OF KNAPP,JACKSON,190,141,47,2,0,0,0,0,0,159,100,56,1,2,0,0
TOWN OF KOMENSKY,JACKSON,154,28,114,1,3,0,6,0,2,140,18,122,0,0,0,0
TOWN OF MANCHESTER,JACKSON,396,250,118,1,16,0,7,4,0,371,183,183,0,5,0,0
TOWN OF MELROSE,JACKSON,226,135,81,0,8,0,0,1,1,221,116,103,0,2,0,0
TOWN OF MILLSTON,JACKSON,94,59,30,0,3,0,0,0,2,101,51,49,0,1,0,0
TOWN OF NORTH BEND,JACKSON,272,136,120,1,9,0,3,1,2,261,90,169,0,2,0,0
TOWN OF NORTHFIELD,JACKSON,355,212,130,3,8,0,0,2,0,335,160,170,2,2,0,0
TOWN OF SPRINGFIELD,JACKSON,223,114,94,1,13,0,0,1,0,239,101,134,0,4,0,0
VILLAGE OF ALMA CENTER,JACKSON,214,102,96,2,12,0,1,0,1,235,94,138,0,2,0,0
VILLAGE OF HIXTON,JACKSON,214,110,95,2,5,0,2,0,0,225,88,137,0,0,0,0
VILLAGE OF MELROSE,JACKSON,272,119,129,1,10,0,10,0,3,261,94,165,0,2,0,0
VILLAGE OF MERRILLAN,JACKSON,241,107,116,5,8,0,5,0,0,245,71,171,0,3,0,0
VILLAGE OF TAYLOR,JACKSON,183,97,71,3,7,0,2,2,1,193,50,141,0,2,0,0
CITY OF BLACK RIVER FALLS,JACKSON,1534,691,750,5,55,0,20,6,7,1597,621,956,3,14,0,0
TOWN OF AZTALAN,JEFFERSON,794,446,304,2,20,0,11,8,3,840,425,409,3,3,0,0
TOWN OF COLD SPRING,JEFFERSON,473,278,167,2,19,0,1,2,4,471,286,175,1,8,0,0
TOWN OF CONCORD,JEFFERSON,1208,799,337,2,41,0,8,9,12,1251,810,432,0,9,0,0
TOWN OF FARMINGTON,JEFFERSON,876,583,246,5,28,0,5,2,7,865,533,328,0,2,0,0
TOWN OF HEBRON,JEFFERSON,611,397,170,2,26,0,4,6,6,651,387,253,1,8,0,0
TOWN OF IXONIA,JEFFERSON,2745,1875,666,13,115,0,21,29,26,2712,1930,741,6,30,0,0
TOWN OF JEFFERSON,JEFFERSON,1204,749,383,5,42,0,7,6,12,1247,718,511,4,12,0,0
TOWN OF KOSHKONONG,JEFFERSON,2098,1211,769,6,56,0,15,17,24,2168,1171,972,6,18,0,0
TOWN OF LAKE MILLS,JEFFERSON,1230,561,575,4,48,0,10,19,13,1294,633,647,3,9,0,0
TOWN OF MILFORD,JEFFERSON,630,362,222,4,26,0,9,3,4,635,349,273,5,7,0,0
TOWN OF OAKLAND,JEFFERSON,1844,829,894,8,55,0,26,3,29,1916,863,1033,4,12,0,0
TOWN OF PALMYRA,JEFFERSON,763,487,234,5,21,0,6,4,6,771,502,262,1,6,0,0
TOWN OF SULLIVAN,JEFFERSON,1332,882,360,7,44,0,14,12,13,1339,909,399,3,20,0,0
TOWN OF SUMNER,JEFFERSON,525,291,203,2,14,0,4,7,4,524,269,253,0,2,0,0
TOWN OF WATERLOO,JEFFERSON,513,282,191,5,24,0,6,0,5,513,281,228,0,4,0,0
TOWN OF WATERTOWN,JEFFERSON,1113,771,286,3,31,0,5,3,14,1163,751,402,2,5,0,0
VILLAGE OF CAMBRIDGE,JEFFERSON,44,11,30,1,1,0,1,0,0,42,14,28,0,0,0,0
VILLAGE OF JOHNSON CREEK,JEFFERSON,1514,844,554,11,67,0,7,14,17,1450,797,632,5,15,0,0
VILLAGE OF PALMYRA,JEFFERSON,901,581,264,2,30,0,12,3,9,937,569,349,3,11,0,0
VILLAGE OF SULLIVAN,JEFFERSON,360,222,104,1,25,0,5,1,2,349,227,116,0,5,0,0
CITY OF FORT ATKINSON,JEFFERSON,5897,2537,2905,26,224,0,68,69,68,6179,2662,3421,10,64,0,0
CITY OF JEFFERSON,JEFFERSON,3495,1705,1547,5,126,0,48,25,39,3596,1590,1946,16,35,0,0
CITY OF LAKE MILLS,JEFFERSON,3332,1394,1669,9,150,0,50,30,30,3332,1448,1841,4,34,0,0
CITY OF WATERLOO,JEFFERSON,1621,782,712,5,71,0,28,10,13,1625,693,926,0,4,0,0
CITY OF WATERTOWN,JEFFERSON,6641,3981,2120,42,277,0,68,87,66,7091,4132,2851,14,80,0,0
CITY OF WHITEWATER,JEFFERSON,1345,557,657,1,81,0,22,9,18,1320,568,730,2,16,0,0
TOWN OF ARMENIA,JUNEAU,360,231,115,0,8,0,3,0,3,351,173,171,0,7,0,0
TOWN OF CLEARFIELD,JUNEAU,394,245,128,0,10,0,5,5,1,380,188,186,1,5,0,0
TOWN OF CUTLER,JUNEAU,203,135,60,0,5,0,2,0,1,192,91,95,2,3,0,0
TOWN OF FINLEY,JUNEAU,65,52,13,0,0,0,0,0,0,50,36,13,1,0,0,0
TOWN OF FOUNTAIN,JUNEAU,306,200,86,0,7,0,4,2,7,300,150,148,0,1,0,0
TOWN OF GERMANTOWN,JUNEAU,821,550,252,2,3,0,2,5,7,786,402,379,1,4,0,0
TOWN OF KILDARE,JUNEAU,308,189,101,4,11,0,1,0,2,325,145,177,1,2,0,0
TOWN OF KINGSTON,JUNEAU,20,18,2,0,0,0,0,0,0,22,16,5,0,1,0,0
TOWN OF LEMONWEIR,JUNEAU,777,473,285,0,10,0,7,2,0,790,335,448,2,4,0,0
TOWN OF LINDINA,JUNEAU,401,214,164,1,13,0,4,2,3,412,187,222,0,2,0,0
TOWN OF LISBON,JUNEAU,489,304,166,1,14,0,2,2,0,449,207,236,0,5,0,0
TOWN OF LYNDON,JUNEAU,628,328,267,3,14,0,13,1,2,634,246,380,0,5,0,0
TOWN OF MARION,JUNEAU,246,177,64,0,4,0,0,0,1,253,135,114,0,4,0,0
TOWN OF NECEDAH,JUNEAU,1176,837,297,4,22,0,5,6,5,1112,634,455,1,17,0,0
TOWN OF ORANGE,JUNEAU,266,172,89,1,2,0,1,0,1,274,141,132,1,0,0,0
TOWN OF PLYMOUTH,JUNEAU,304,187,106,2,5,0,1,1,2,337,166,167,1,3,0,0
