city,county,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12
VILLAGE OF GRANTSBURG,BURNETT,609,378,196,3,19,0,4,9,0,663,372,284,0,6,0,0
VILLAGE OF SIREN,BURNETT,358,218,127,0,11,0,2,0,0,355,170,182,1,2,0,0
VILLAGE OF WEBSTER,BURNETT,323,192,122,0,7,0,2,0,0,326,136,187,0,3,0,0
TOWN OF BRILLION,CALUMET,822,568,195,13,35,0,9,2,0,815,520,287,2,5,0,0
TOWN OF BROTHERTOWN,CALUMET,734,526,186,3,14,0,2,3,0,764,511,246,1,6,0,0
TOWN OF CHARLESTOWN,CALUMET,460,315,123,1,13,0,4,4,0,466,278,184,1,3,0,0
TOWN OF CHILTON,CALUMET,640,449,150,5,23,0,8,5,0,627,414,203,6,4,0,0
TOWN OF HARRISON,CALUMET,304,153,118,7,20,0,2,4,0,5889,3382,2427,8,55,0,0
TOWN OF NEW HOLSTEIN,CALUMET,797,517,234,8,25,0,6,7,0,813,487,312,3,7,0,0
TOWN OF RANTOUL,CALUMET,417,312,87,3,9,0,4,2,0,434,276,151,3,4,0,0
TOWN OF STOCKBRIDGE,CALUMET,923,629,260,6,22,0,4,2,0,902,535,345,4,14,0,0
TOWN OF WOODVILLE,CALUMET,501,357,111,4,22,0,5,2,0,521,332,179,2,7,0,0
VILLAGE OF HARRISON,CALUMET,5901,3385,2162,27,260,0,39,28,0,5889,3382,2427,8,55,0,0
VILLAGE OF HILBERT,CALUMET,532,380,118,2,25,0,6,1,0,573,361,207,1,3,0,0
VILLAGE OF POTTER,CALUMET,146,109,24,1,7,0,2,3,0,138,85,47,0,6,0,0
VILLAGE OF SHERWOOD,CALUMET,1818,1034,683,14,64,0,12,11,0,1704,1021,664,1,17,0,0
VILLAGE OF STOCKBRIDGE,CALUMET,395,237,137,3,15,0,2,1,0,382,214,156,0,10,0,0
CITY OF APPLETON,CALUMET,5579,2601,2587,38,259,0,50,44,0,5747,2709,2948,14,71,0,0
CITY OF BRILLION,CALUMET,1567,985,501,7,54,0,15,5,0,1557,835,701,2,16,0,0
CITY OF CHILTON,CALUMET,1790,1055,637,7,69,0,14,8,0,1862,952,876,3,29,0,0
CITY OF KIEL,CALUMET,136,80,53,0,3,0,0,0,0,152,75,76,0,1,0,0
CITY OF MENASHA,CALUMET,1515,763,662,12,56,0,10,12,0,1335,694,627,0,12,0,0
CITY OF NEW HOLSTEIN,CALUMET,1618,912,614,10,59,0,10,13,0,1739,858,853,3,22,0,0
TOWN OF ANSON,CHIPPEWA,1281,758,441,4,65,0,5,8,0,1218,687,515,1,13,0,0
TOWN OF ARTHUR,CHIPPEWA,364,257,92,2,10,0,2,1,0,385,216,166,0,2,0,0
TOWN OF AUBURN,CHIPPEWA,360,220,115,2,18,0,5,0,0,362,178,169,2,12,0,0
TOWN OF BIRCH CREEK,CHIPPEWA,313,191,116,2,4,0,0,0,0,303,192,110,0,1,0,0
TOWN OF BLOOMER,CHIPPEWA,551,384,145,2,15,0,3,2,0,541,326,208,1,5,0,0
TOWN OF CLEVELAND,CHIPPEWA,453,318,117,1,15,0,1,1,0,411,241,168,0,2,0,0
TOWN OF COLBURN,CHIPPEWA,414,295,108,1,6,0,2,2,0,406,241,164,1,0,0,0
TOWN OF COOKS VALLEY,CHIPPEWA,388,267,107,0,14,0,0,0,0,389,234,152,1,2,0,0
TOWN OF DELMAR,CHIPPEWA,439,299,120,1,17,0,1,1,0,450,257,185,2,6,0,0
TOWN OF EAGLE POINT,CHIPPEWA,1907,1136,691,10,55,0,11,4,0,1848,1032,798,6,12,0,0
TOWN OF EDSON,CHIPPEWA,424,264,146,0,12,0,1,1,0,423,196,223,0,4,0,0
TOWN OF ESTELLA,CHIPPEWA,227,162,59,1,4,0,1,0,0,212,115,95,1,1,0,0
TOWN OF GOETZ,CHIPPEWA,426,258,150,5,12,0,1,0,0,392,174,214,1,2,0,0
TOWN OF HALLIE,CHIPPEWA,98,43,48,0,4,0,2,1,0,100,45,54,1,0,0,0
TOWN OF HOWARD,CHIPPEWA,416,245,134,6,28,0,2,1,0,410,194,211,0,3,0,0
TOWN OF LAFAYETTE,CHIPPEWA,3438,1880,1379,13,142,0,24,0,0,3382,1701,1642,8,28,0,0
TOWN OF LAKE HOLCOMBE,CHIPPEWA,581,397,171,0,10,0,1,2,0,565,310,254,0,1,0,0
TOWN OF RUBY,CHIPPEWA,221,158,57,1,4,0,0,1,0,218,105,111,1,1,0,0
TOWN OF SAMPSON,CHIPPEWA,503,344,133,4,15,0,2,5,0,472,281,183,2,6,0,0
TOWN OF SIGEL,CHIPPEWA,509,308,179,4,15,0,3,0,0,501,225,266,2,6,0,0
TOWN OF TILDEN,CHIPPEWA,865,521,303,5,30,0,3,3,0,846,461,370,3,11,0,0
TOWN OF WHEATON,CHIPPEWA,1568,874,615,11,52,0,14,2,0,1599,813,764,5,15,0,0
TOWN OF WOODMOHR,CHIPPEWA,568,363,173,10,15,0,6,1,0,523,287,228,1,4,0,0
VILLAGE OF BOYD,CHIPPEWA,289,162,109,2,12,0,2,2,0,285,127,154,1,2,0,0
VILLAGE OF CADOTT,CHIPPEWA,611,346,234,4,23,0,4,0,0,627,273,351,1,2,0,0
VILLAGE OF LAKE HALLIE,CHIPPEWA,3452,1836,1391,17,163,0,29,16,0,3305,1547,1718,11,21,0,0
VILLAGE OF NEW AUBURN,CHIPPEWA,211,152,46,0,12,0,0,1,0,220,121,95,1,3,0,0
CITY OF BLOOMER,CHIPPEWA,1749,1092,577,10,52,0,11,7,0,1760,942,802,5,9,0,0
CITY OF CHIPPEWA FALLS,CHIPPEWA,6397,2982,2934,40,309,0,89,43,0,6272,2665,3530,8,62,0,0
CITY OF CORNELL,CHIPPEWA,644,415,207,2,14,0,5,1,0,657,327,323,1,6,0,0
CITY OF EAU CLAIRE,CHIPPEWA,985,449,463,10,45,0,17,1,0,915,364,537,2,12,0,0
CITY OF STANLEY,CHIPPEWA,916,540,327,5,27,0,17,0,0,935,445,477,0,13,0,0
TOWN OF BEAVER,CLARK,255,177,66,2,7,0,3,0,0,258,155,102,0,1,0,0
TOWN OF BUTLER,CLARK,51,36,14,0,1,0,0,0,0,47,26,21,0,0,0,0
TOWN OF COLBY,CLARK,271,177,76,2,10,0,0,5,1,273,164,104,0,4,0,0
TOWN OF DEWHURST,CLARK,205,127,66,0,5,0,2,1,4,182,103,78,0,1,0,0
TOWN OF EATON,CLARK,244,168,60,5,10,0,1,0,0,230,140,81,2,7,0,0
TOWN OF FOSTER,CLARK,76,53,20,0,0,0,1,1,1,74,38,35,1,0,0,0
TOWN OF FREMONT,CLARK,503,348,121,6,19,0,4,5,0,491,320,165,1,3,0,0
TOWN OF GRANT,CLARK,393,266,103,1,16,0,5,1,1,384,197,176,2,4,0,0
TOWN OF GREEN GROVE,CLARK,223,147,62,1,9,0,2,0,2,222,115,104,3,0,0,0
TOWN OF HENDREN,CLARK,190,116,63,1,5,0,2,1,2,218,114,98,4,2,0,0
