county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
FLORENCE___TOWN OF HOMESTEAD,240,185,52,0,1,0,1,1,0,220,130,88,2,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
FLORENCE___TOWN OF LONG LAKE,110,76,29,2,3,0,0,0,0,105,66,38,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
FLORENCE___TOWN OF TIPLER,104,89,13,0,2,0,0,0,0,101,81,20,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOND DU LAC___TOWN OF ALTO,607,506,68,9,9,0,5,3,7,619,465,150,3,1,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF ASHFORD,1002,745,204,9,32,0,2,5,5,1033,733,288,3,8,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF AUBURN,1421,1084,265,9,41,0,8,9,5,1434,1057,352,6,19,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF BYRON,972,697,212,6,32,0,10,8,7,1005,696,300,2,6,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF CALUMET,849,564,229,1,40,0,2,7,6,864,549,310,3,2,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF EDEN,625,473,121,5,17,0,3,4,2,648,467,173,1,7,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF ELDORADO,850,608,197,3,33,0,4,2,3,837,550,277,1,9,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF EMPIRE,1749,1095,546,5,57,0,6,21,19,1846,1212,621,6,7,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF FOND DU LAC,1983,1203,654,11,61,0,14,16,24,1976,1194,756,2,20,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF FOREST,670,485,141,5,22,0,4,5,8,645,474,165,1,5,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF FRIENDSHIP,1422,931,425,5,33,0,18,1,9,1421,801,612,2,6,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF LAMARTINE,1021,722,243,2,35,0,6,10,3,1048,688,341,6,9,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF MARSHFIELD,650,444,168,7,22,0,2,1,6,662,456,201,4,1,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF METOMEN,401,282,87,2,23,0,3,2,2,405,258,140,3,4,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF OAKFIELD,379,259,97,2,9,0,3,6,3,383,247,127,1,8,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF OSCEOLA,1092,801,251,1,24,0,6,4,5,1150,840,296,3,10,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF RIPON,787,479,251,1,34,0,13,5,4,799,479,309,3,8,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF ROSENDALE,405,284,99,2,12,0,4,2,2,420,276,139,2,3,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF SPRINGVALE,389,282,91,3,6,0,3,2,2,390,247,138,1,3,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF TAYCHEEDAH,2817,1818,856,5,85,0,16,13,24,2816,1872,919,2,20,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___TOWN OF WAUPUN,787,548,201,6,14,0,7,5,6,830,540,280,0,9,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF BRANDON,438,293,113,4,21,0,3,1,3,450,272,172,0,3,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF CAMPBELLSPORT,968,643,242,6,48,0,15,5,9,1010,622,371,5,10,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF EDEN,396,278,101,1,11,0,4,0,1,417,238,176,0,3,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF FAIRWATER,163,111,43,1,6,0,0,1,1,187,115,70,0,1,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF MOUNT CALVARY,304,203,71,5,17,0,5,1,2,298,188,105,0,4,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF NORTH FOND DU LAC,2372,1229,978,6,104,0,17,10,28,2398,1095,1273,3,23,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF OAKFIELD,593,383,180,1,16,0,8,2,3,608,356,242,1,9,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF ROSENDALE,578,397,159,1,17,0,2,1,1,594,371,216,5,1,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___VILLAGE OF ST. CLOUD,322,213,87,3,16,0,2,0,1,299,200,96,0,3,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___CITY OF FOND DU LAC,19305,9988,7900,85,795,0,203,126,208,20316,9965,10087,35,192,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___CITY OF RIPON,3658,1817,1567,18,154,0,44,23,35,3776,1782,1932,8,48,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOND DU LAC___CITY OF WAUPUN,1821,1157,540,12,63,0,6,24,19,1818,1050,745,3,15,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
FOREST___TOWN OF ALVIN,100,69,28,1,1,0,1,0,0,106,56,49,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF ARGONNE,272,187,71,4,4,0,4,2,0,253,103,141,1,7,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF ARMSTRONG CREEK,223,154,64,0,1,0,2,0,2,223,112,111,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF BLACKWELL,59,37,17,0,2,0,0,0,3,100,39,58,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF CASWELL,47,35,12,0,0,0,0,0,0,52,31,21,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF CRANDON,329,205,116,1,6,0,0,0,1,319,126,187,4,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF FREEDOM,222,143,74,2,2,0,1,0,0,223,135,87,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF HILES,255,161,89,0,1,0,2,0,2,240,122,115,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF LAONA,601,359,213,3,17,0,0,4,5,624,300,320,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF LINCOLN,509,292,206,0,5,0,3,0,3,511,226,282,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF NASHVILLE,582,314,244,3,9,0,10,0,2,601,269,327,2,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF POPPLE RIVER,24,10,12,0,2,0,0,0,0,23,10,13,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF ROSS,71,57,11,0,3,0,0,0,0,78,44,32,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___TOWN OF WABENO,464,260,169,1,18,0,11,0,5,485,220,260,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
FOREST___CITY OF CRANDON,787,504,253,2,13,0,9,3,3,810,379,422,2,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF BEETOWN,310,216,79,1,11,0,1,1,1,301,168,128,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF BLOOMINGTON,205,142,53,0,6,0,1,0,3,171,95,74,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF BOSCOBEL,183,90,82,1,6,0,2,1,1,196,83,110,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF CASSVILLE,190,123,59,0,5,0,1,0,2,197,93,101,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF CASTLE ROCK,146,87,47,2,7,0,3,0,0,135,57,77,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF CLIFTON,131,63,59,0,8,0,0,0,1,151,68,81,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF ELLENBORO,284,178,95,1,4,0,5,0,1,289,151,135,3,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF FENNIMORE,242,152,73,3,8,0,3,0,3,247,118,126,2,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF GLEN HAVEN,185,127,50,2,4,0,1,1,0,180,98,81,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF HARRISON,259,157,87,3,10,0,0,0,2,275,148,124,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF HAZEL GREEN,635,286,315,3,21,0,4,6,0,643,259,375,1,8,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF HICKORY GROVE,174,105,59,0,5,0,1,1,3,169,90,77,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF JAMESTOWN,1049,644,349,6,31,0,14,3,2,1071,552,501,4,10,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF LIBERTY,234,145,72,1,14,0,0,0,2,258,137,119,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF LIMA,348,185,138,5,12,0,4,3,1,375,170,198,3,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF LITTLE GRANT,141,90,46,1,2,0,0,0,2,112,65,45,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF MARION,225,141,76,1,4,0,2,0,1,234,93,138,2,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF MILLVILLE,95,47,41,0,5,0,1,0,1,91,32,58,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF MOUNT HOPE,103,68,32,0,1,0,0,0,2,101,50,51,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF MOUNT IDA,269,172,82,1,9,0,2,0,3,246,133,111,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF MUSCODA,302,190,98,0,5,0,7,1,1,303,134,165,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF NORTH LANCASTER,267,183,77,0,2,0,1,2,2,264,141,122,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF PARIS,376,237,125,0,9,0,2,0,3,381,204,176,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF PATCH GROVE,173,92,63,0,12,0,5,1,0,154,67,82,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF PLATTEVILLE,803,396,352,4,33,0,6,5,7,822,398,416,2,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF POTOSI,425,246,157,3,13,0,1,1,4,418,181,229,2,2,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF SMELSER,451,245,180,0,17,0,3,0,6,457,221,230,1,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF SOUTH LANCASTER,316,184,118,2,8,0,1,0,3,335,171,157,2,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF WATERLOO,263,157,88,4,6,0,5,0,3,254,110,124,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF WATTERSTOWN,163,91,65,0,3,0,1,0,3,152,67,84,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF WINGVILLE,150,80,60,1,3,0,4,0,2,166,71,94,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF WOODMAN,82,55,24,0,2,0,1,0,0,76,37,36,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___TOWN OF WYALUSING,198,107,77,1,5,0,1,1,6,185,80,105,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF BAGLEY,194,92,84,2,8,0,4,0,4,172,47,123,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF BLOOMINGTON,362,203,134,1,15,0,1,3,5,343,160,177,2,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF BLUE RIVER,187,91,84,0,8,0,2,0,2,203,80,118,1,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF CASSVILLE,399,202,176,1,16,0,3,0,1,390,158,226,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF DICKEYVILLE,527,274,223,5,17,0,4,2,2,562,261,291,2,7,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF HAZEL GREEN,559,261,271,1,14,0,8,1,3,585,205,376,0,4,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF LIVINGSTON,288,124,134,2,23,0,4,0,1,322,108,210,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF MONTFORT,266,122,124,1,17,0,1,1,0,266,93,169,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF MOUNT HOPE,82,40,30,3,5,0,3,0,1,67,23,43,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF MUSCODA,503,249,202,4,22,0,17,2,7,558,180,372,0,6,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF PATCH GROVE,92,45,37,0,5,0,3,0,2,70,27,43,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF POTOSI,358,198,143,2,9,0,3,1,2,372,154,213,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF TENNYSON,178,99,68,5,6,0,0,0,0,182,81,100,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___VILLAGE OF WOODMAN,41,24,14,1,1,0,0,0,1,47,15,29,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___CITY OF BOSCOBEL,1222,599,528,6,43,0,18,1,27,1219,402,803,5,7,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___CITY OF CUBA CITY,843,384,400,5,30,0,10,1,13,923,338,573,3,7,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___CITY OF FENNIMORE,1068,550,452,8,33,0,11,6,8,1141,478,652,0,11,0,0,None,Dominion (Sequoia)/Command Central-Edge
GRANT___CITY OF LANCASTER,1727,902,710,1,70,0,25,3,16,1820,816,981,6,14,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GRANT___CITY OF PLATTEVILLE,6095,2410,2859,39,531,0,119,38,99,5597,2087,3365,12,117,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution; Command Central-Edge
GREEN___TOWN OF ADAMS,291,146,137,0,6,0,1,0,1,298,127,167,1,2,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF ALBANY,656,339,275,2,26,0,8,0,6,617,258,350,3,5,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF BROOKLYN,674,294,352,0,20,0,5,2,1,690,283,399,2,5,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF CADIZ,450,274,161,1,10,0,2,0,2,430,205,214,3,6,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF CLARNO,646,376,232,5,21,0,5,2,5,622,316,301,2,2,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF DECATUR,942,499,389,4,25,0,11,3,11,989,458,524,0,6,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF EXETER,1163,406,682,3,47,0,14,4,7,1159,411,740,1,5,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF JEFFERSON,627,395,193,3,25,0,10,0,1,625,351,266,1,7,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF JORDAN,319,174,129,2,10,0,1,1,2,355,168,180,0,6,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF MONROE,715,371,301,4,22,0,5,7,5,682,347,321,1,11,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF MOUNT PLEASANT,328,158,151,2,10,0,6,0,1,347,138,205,0,3,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF NEW GLARUS,821,338,441,0,26,0,5,5,6,809,369,432,1,4,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF SPRING GROVE,467,275,162,1,23,0,3,1,2,485,256,225,0,4,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF SYLVESTER,567,312,225,2,23,0,3,1,1,591,323,266,0,2,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF WASHINGTON,451,212,223,2,9,0,2,1,2,455,172,282,0,1,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___TOWN OF YORK,546,219,294,6,11,0,7,4,5,556,202,345,1,7,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___VILLAGE OF ALBANY,478,198,245,2,25,0,6,0,2,507,139,363,1,3,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___VILLAGE OF BELLEVILLE,292,97,169,2,11,0,7,3,3,293,88,204,0,1,0,0,ES&S DS200,ES&S Automark
GREEN___VILLAGE OF BROWNTOWN,120,67,43,1,5,0,1,0,3,143,62,76,1,4,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___VILLAGE OF MONTICELLO,633,239,353,3,25,0,7,1,5,674,225,438,0,7,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___VILLAGE OF NEW GLARUS,1217,362,773,3,49,0,12,6,12,1256,351,888,1,15,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___CITY OF BRODHEAD,1348,688,563,5,55,0,16,5,16,1385,525,821,2,31,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN___CITY OF MONROE,4982,2167,2486,24,189,0,55,18,43,5110,2008,3035,7,52,0,0,Dominion ImageCast Evolution,Dominion ImageCast Evolution
GREEN LAKE___TOWN OF BERLIN,669,491,145,4,19,0,4,2,4,682,477,203,1,1,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF BROOKLYN,1134,732,325,7,39,0,8,16,7,1179,750,422,2,5,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF GREEN LAKE,714,503,169,4,22,0,3,5,8,745,542,198,1,4,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF KINGSTON,291,203,60,9,14,0,3,0,2,293,183,109,1,0,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF MACKFORD,286,237,42,0,4,0,2,0,1,305,222,82,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF MANCHESTER,357,256,87,3,4,0,3,3,1,402,270,128,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF MARQUETTE,277,194,73,1,5,0,1,1,2,286,170,114,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF PRINCETON,872,584,251,2,20,0,9,1,5,855,500,345,2,5,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF ST. MARIE,231,159,65,1,3,0,0,1,2,220,137,79,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___TOWN OF SENECA,229,152,67,0,6,0,2,1,1,214,130,82,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___VILLAGE OF KINGSTON,169,114,43,0,6,0,4,1,1,181,103,77,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___VILLAGE OF MARQUETTE,87,52,31,0,3,0,1,0,0,69,44,25,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___CITY OF BERLIN,2248,1348,774,6,85,0,19,7,9,2337,1208,1088,10,27,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___CITY OF GREEN LAKE,562,330,205,4,15,0,1,4,3,581,335,243,1,1,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___CITY OF MARKESAN,686,477,174,6,13,0,6,4,6,715,436,270,1,7,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
GREEN LAKE___CITY OF PRINCETON,604,384,182,1,18,0,9,4,6,611,275,328,1,6,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF ARENA,801,325,436,3,18,0,9,4,6,875,288,582,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF BRIGHAM,636,229,372,1,24,0,3,2,5,628,228,386,2,10,0,0,ES&S DS200,ES&S Automark
IOWA___TOWN OF CLYDE,196,68,111,1,9,0,7,0,0,188,70,114,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF DODGEVILLE,947,391,515,2,24,0,8,1,6,1023,397,614,0,9,0,0,ES&S M100,ES&S Automark
IOWA___TOWN OF EDEN,208,99,93,1,11,0,0,1,3,213,90,121,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF HIGHLAND,378,183,176,2,10,0,3,1,3,395,149,242,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF LINDEN,381,207,157,4,4,0,3,2,4,382,171,208,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF MIFFLIN,276,145,108,4,8,0,4,3,4,293,127,161,1,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF MINERAL POINT,482,243,215,3,13,0,0,4,4,515,241,274,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF MOSCOW,339,136,185,2,6,0,5,1,4,372,129,239,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF PULASKI,180,96,79,0,3,0,2,0,0,174,89,84,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF RIDGEWAY,355,126,212,3,13,0,0,0,1,367,110,254,0,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF WALDWICK,259,97,140,0,15,0,0,2,5,266,100,166,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___TOWN OF WYOMING,221,61,144,0,7,0,5,2,2,206,61,144,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___VILLAGE OF ARENA,406,150,222,2,18,0,5,2,7,440,120,313,2,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___VILLAGE OF AVOCA,230,108,105,1,8,0,6,1,1,253,65,187,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___VILLAGE OF BARNEVELD,639,215,375,4,38,0,2,0,5,614,181,426,1,6,0,0,ES&S DS200,ES&S Automark
IOWA___VILLAGE OF COBB,246,96,126,4,15,0,2,0,3,251,82,165,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___VILLAGE OF HIGHLAND,390,175,195,2,10,0,2,2,4,421,138,273,1,7,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___VILLAGE OF HOLLANDALE,145,31,104,1,3,0,1,0,5,144,36,107,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___VILLAGE OF LINDEN,229,92,120,0,11,0,2,1,3,243,55,185,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___VILLAGE OF REWEY,102,38,55,0,8,0,0,1,0,105,26,77,1,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___VILLAGE OF RIDGEWAY,324,135,155,2,20,0,4,1,7,319,91,224,0,4,0,0,None,Dominion (Sequoia)/Command Central-Edge
IOWA___CITY OF DODGEVILLE,2379,842,1340,9,130,0,26,0,32,2308,789,1487,1,28,0,0,ES&S DS200,Dominion (Sequoia)/Command Central-Edge
IOWA___CITY OF MINERAL POINT,1370,463,839,9,24,0,16,5,14,1357,393,957,0,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
IRON___TOWN OF ANDERSON,47,23,22,0,2,0,0,0,0,46,20,26,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
IRON___TOWN OF CAREY,97,62,28,0,3,0,2,0,2,102,58,42,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
IRON___TOWN OF GURNEY,83,41,41,0,0,0,1,0,0,92,34,55,1,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
IRON___TOWN OF KIMBALL,294,171,112,0,7,0,3,0,1,319,155,156,3,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
IRON___TOWN OF KNIGHT,103,57,38,1,0,0,6,0,1,131,65,62,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
IRON___TOWN OF MERCER,993,634,309,2,24,0,7,2,15,992,561,415,3,6,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
IRON___TOWN OF OMA,242,155,84,0,1,0,1,1,0,225,130,92,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
IRON___TOWN OF PENCE,101,50,47,0,1,0,3,0,0,121,59,58,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
