county_city_key,totalvote16,REP16,DEM16,CON16,LIB16,hidden16,WGR16,IND16,SCATTERING16,totalvote12,REP12,DEM12,CON12,IND12,hidden12,SCATTERING12,scanner,voting_machine
BARRON___TOWN OF PRAIRIE LAKE,855,555,261,5,25,0,5,4,0,861,481,367,3,9,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF RICE LAKE,1595,947,580,3,32,0,12,9,12,1641,843,779,1,15,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF SIOUX CREEK,294,184,94,3,11,0,0,2,0,302,178,122,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF STANFOLD,381,243,122,7,7,0,1,0,1,371,194,177,0,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF STANLEY,1315,834,407,7,40,0,13,7,7,1325,734,576,1,9,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF SUMNER,393,249,128,0,10,0,2,2,2,399,208,190,0,1,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF TURTLE LAKE,296,195,89,2,8,0,1,1,0,299,150,139,1,9,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BARRON___TOWN OF VANCE CREEK,343,210,113,4,12,0,2,2,0,313,159,148,0,6,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___VILLAGE OF ALMENA,303,209,74,1,11,0,6,2,0,276,147,127,0,2,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___VILLAGE OF CAMERON,792,504,245,3,25,0,6,1,8,757,388,363,1,4,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BARRON___VILLAGE OF DALLAS,180,113,60,1,5,0,0,1,0,194,105,83,1,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___VILLAGE OF HAUGEN,159,85,65,3,2,0,1,2,1,149,65,80,1,3,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___VILLAGE OF PRAIRIE FARM,192,122,60,1,7,0,2,0,0,182,77,103,1,0,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___VILLAGE OF TURTLE LAKE,376,220,129,1,17,0,6,2,1,402,181,213,1,5,0,0,None,Dominion (Sequoia)/Command Central-Edge
BARRON___CITY OF BARRON,1362,759,511,10,46,0,15,9,12,1380,648,713,4,15,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BARRON___CITY OF CHETEK,1019,582,381,7,36,0,6,7,0,970,471,482,0,16,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BARRON___CITY OF CUMBERLAND,1118,597,459,3,39,0,8,5,7,1050,439,598,2,10,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BARRON___CITY OF RICE LAKE,3892,2116,1554,20,148,0,43,11,0,4051,1854,2091,10,59,0,0,Dominion (Sequoia)/Command Central- Optech Insight,Dominion (Sequoia)/Command Central-Edge
BAYFIELD___TOWN OF BARKSDALE,482,220,233,4,8,0,7,1,9,482,198,272,2,10,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF BARNES,574,293,254,1,11,0,5,4,6,567,253,306,1,7,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF BAYFIELD,498,146,327,0,6,0,15,2,2,534,150,372,1,9,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF BAYVIEW,336,141,181,0,7,0,1,3,3,368,138,229,0,1,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF BELL,233,83,136,0,7,0,6,0,1,226,82,138,0,6,0,0,None,ES&S Automark
BAYFIELD___TOWN OF CABLE,516,299,193,2,16,0,2,1,3,528,270,256,1,1,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF CLOVER,176,76,86,0,6,0,5,1,2,179,70,104,0,5,0,0,None,ES&S Automark
BAYFIELD___TOWN OF DELTA,208,113,84,0,6,0,2,0,3,208,108,100,0,0,0,0,None,ES&S Automark
BAYFIELD___TOWN OF DRUMMOND,335,169,153,0,4,0,4,3,2,327,139,182,0,6,0,0,None,ES&S Automark
BAYFIELD___TOWN OF EILEEN,417,220,178,0,11,0,5,0,3,420,170,245,1,3,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF GRAND VIEW,296,147,131,0,6,0,6,2,4,295,111,178,0,5,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF HUGHES,301,163,130,0,3,0,2,1,2,299,127,168,0,4,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF IRON RIVER,736,384,322,2,15,0,8,1,4,738,308,418,2,9,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF KELLY,259,146,97,1,4,0,4,6,1,251,107,141,0,2,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF KEYSTONE,197,104,83,2,5,0,1,1,1,212,87,121,1,2,0,0,None,ES&S Automark
BAYFIELD___TOWN OF LINCOLN,182,103,65,2,3,0,6,2,1,181,77,101,0,2,0,0,None,ES&S Automark
BAYFIELD___TOWN OF MASON,166,88,74,0,1,0,1,1,1,179,84,94,0,1,0,0,None,ES&S Automark
BAYFIELD___TOWN OF NAMAKAGON,238,133,100,0,2,0,1,0,2,223,123,97,1,1,0,0,None,ES&S Automark
BAYFIELD___TOWN OF ORIENTA,90,46,39,0,1,0,4,0,0,86,37,42,0,7,0,0,None,ES&S Automark
BAYFIELD___TOWN OF OULU,335,166,147,3,10,0,9,0,0,332,151,177,1,3,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF PILSEN,139,59,74,1,5,0,0,0,0,146,52,92,0,2,0,0,None,ES&S Automark
BAYFIELD___TOWN OF PORT WING,262,109,146,0,4,0,1,0,2,274,99,173,0,1,0,0,None,ES&S Automark
BAYFIELD___TOWN OF RUSSELL,548,89,405,1,4,0,28,2,19,638,72,553,0,13,0,0,ES&S M100,ES&S Automark
BAYFIELD___TOWN OF TRIPP,140,78,54,2,6,0,0,0,0,144,73,67,1,3,0,0,None,ES&S Automark
BAYFIELD___TOWN OF WASHBURN,346,130,196,0,7,0,8,3,2,362,121,237,1,3,0,0,ES&S M100,ES&S Automark
BAYFIELD___VILLAGE OF MASON,41,18,20,0,0,0,3,0,0,50,16,32,0,2,0,0,None,ES&S Automark
BAYFIELD___CITY OF BAYFIELD,347,73,253,0,8,0,12,0,1,354,90,260,0,4,0,0,ES&S M100,ES&S Automark
